recording_time_ns,dt,wind_enabled,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw,targetpos_x,targetpos_y,targetpos_z,targetpos_yaw,control_vel_x,control_vel_y,control_vel_z,control_vel_yaw
1777300584157548034,1777300584.1569598,False,-0.5472934516694488,0.705846250534333,0.820254872479776,-0.026670518857937486,0.07413104197738744,-0.015342285512995197,-1.0,1.0,2.0,0.0,-0.3,0.3,0.3,0.009205371307796995
1777300584280438076,0.09723591804504395,False,-0.5484046747233255,0.7057541687015584,0.8212258425500809,-0.023656322066324315,0.07501484869718933,-0.012858246145721265,-1.0,1.0,2.0,0.0,-0.26978032726673995,0.173377123130738,0.3,0.007714947687432704
1777300584355848560,0.1008453369140625,False,-0.5496405408968471,0.7056751351350302,0.8221590056019294,-0.028271333000757147,0.07257986373099963,-0.015047265352788157,-1.0,1.0,2.0,0.0,-0.26916968957041426,0.1727994794947751,0.3,0.00902835921167293
1777300584455640323,0.09984207153320312,False,-0.5509378148518709,0.705696228217159,0.8233568226711034,-0.029472325231191504,0.07256124828715946,-0.017854943427603968,-1.0,1.0,2.0,0.0,-0.26864857471790066,0.1717498095927614,0.3,0.010712966056562311
1777300584555530288,0.09987640380859375,False,-0.5519524892118255,0.7058248349767944,0.8248019533375296,-0.020339539591622057,0.05856322716270635,-0.01861178675768882,-1.0,1.0,2.0,0.0,-0.2690123810688869,0.17114193007463854,0.3,0.011167072054613226
1777300584657310579,0.10156846046447754,False,-0.5533520959426279,0.7052298219936323,0.8261893862307442,-0.02252419698041771,0.04645642409619081,-0.02644765267682156,-1.0,1.0,2.0,0.0,-0.26848600503806735,0.17157958825132116,0.3,0.01586859160609295
1777300584755216272,0.09805727005004883,False,-0.5545660121525374,0.7047021958044268,0.8274009203583179,-0.024169927523287955,0.04501824287444433,-0.029223529532581574,-1.0,1.0,2.0,0.0,-0.2686581813108697,0.17101591839707417,0.3,0.017534117719549068
1777300584854650463,0.09948492050170898,False,-0.5552593390710835,0.7043404841137255,0.8283959385098716,-0.02411298698857621,0.05240237131275892,-0.026952652302514004,-1.0,1.0,2.0,0.0,-0.2694675892016441,0.17128668737863373,0.3,0.01617159138150832
1777300584955739001,0.10115170478820801,False,-0.5558508313458055,0.703691875684667,0.8297322861931596,-0.032858477022891394,0.060932233701594486,-0.02624904778601394,-1.0,1.0,2.0,0.0,-0.269360667207917,0.17269838801861104,0.3,0.01574942867160827
1777300585055370638,0.0996236801147461,False,-0.5562758147786049,0.7030048219717949,0.8312429658901963,-0.04471379245360434,0.06574852799057614,-0.0274591386118872,-1.0,1.0,2.0,0.0,-0.26980419112279186,0.17292358258114932,0.3,0.01647548316713232
1777300585155372128,0.10004305839538574,False,-0.5549689065387264,0.7015299040316432,0.8339956463177148,0.03708947399177369,0.21166607840024296,0.019580620983170444,-1.0,1.0,2.0,0.0,-0.26729284569347256,0.18877451945200452,0.3,-0.011748372589902356
1777300585256075745,0.10051226615905762,False,-0.5542161509665989,0.7026183901768992,0.8321866341035081,-0.03485733683335747,0.06594374044283455,-0.028552721336894186,-1.0,1.0,2.0,0.0,-0.274608320143923,0.16740863650836513,0.3,0.017131632802136476
1777300585353388420,0.09747314453125,False,-0.5580384304576615,0.7029870836328135,0.8385860022510344,0.04344187256227988,0.054698713256362545,0.07113356762770946,-1.0,1.0,2.0,0.0,-0.24018676506163283,0.19463615275482693,0.3,-0.042680140576625634
1777300585456359223,0.10301446914672852,False,-0.5520109538125082,0.7032186031604384,0.8410208223129505,-0.04420586809073197,0.053881614670696736,-0.01969254697902276,-1.0,1.0,2.0,0.0,-0.28978432456942027,0.17172167694567358,0.3,0.011815528187413537
1777300585552062475,0.09577345848083496,False,-0.5446470887079871,0.7168865276342814,0.835451415853522,-0.04509140956899083,0.04525986255273948,-0.026355939764190185,-1.0,1.0,2.0,0.0,-0.2995236216809421,0.11920287455779398,0.3,0.01581356385851409
1777300585653239096,0.10114598274230957,False,-0.5475220124943516,0.7192328021520695,0.8491994363265273,-0.046600766927533045,0.041819856796077436,-0.027714868884422168,-1.0,1.0,2.0,0.0,-0.2673341674779792,0.1541522614752642,0.3,0.016628921330653322
1777300585755188456,0.10186100006103516,False,-0.5600145311080922,0.7115904593078711,0.8788231905639367,-0.03197375582826342,0.03140731883674058,-0.024093272835400796,-1.0,1.0,2.0,0.0,-0.23184357782195958,0.1900236964177715,0.3,0.01445596370124038
1777300585867772435,0.11280322074890137,False,-0.5671888170738675,0.7157637495583565,0.8939570320214701,-0.04929030281051541,0.04265945349778824,-0.019483697475427667,-1.0,1.0,2.0,0.0,-0.24366737982024197,0.1547250168219298,0.3,0.011690218485256665
1777300585963925655,0.09598565101623535,False,-0.5779066953809304,0.7232008236343334,0.9133831702267666,-0.05598247465779874,0.036865655163795516,-0.02379012480272011,-1.0,1.0,2.0,0.0,-0.22309316704507298,0.13756718899116926,0.3,0.014274074881632081
1777300586063429970,0.09919953346252441,False,-0.5888970858034316,0.7295668736689924,0.9304706106155571,-0.031587742774378376,0.0385939612135244,-0.02156612393391315,-1.0,1.0,2.0,0.0,-0.21645877563432087,0.13837197987887095,0.3,0.012939674360347996
1777300586168473042,0.10513520240783691,False,-0.6063558826564039,0.7379967066283389,0.9593994481096979,0.2073966473013472,-0.18301450662959512,-0.022992312213689702,-1.0,1.0,2.0,0.0,-0.18938018633671402,0.1288278582340707,0.3,0.013795387328213948
1777300586267923895,0.09921455383300781,False,-0.6184965284970602,0.7475515104570085,0.9699573797433233,-0.04229695191252694,0.04684430203295073,-0.021869861257852913,-1.0,1.0,2.0,0.0,-0.19482639079137035,0.1183455705185634,0.3,0.013121916754711638
1777300586385926511,0.11792588233947754,False,-0.6338584527483734,0.7568783786030528,0.9889037985220922,-0.033654008113128575,0.04073777885748698,-0.028973039484256384,-1.0,1.0,2.0,0.0,-0.18406728085673846,0.11686249612911112,0.3,0.017383823690553867
1777300586482229501,0.09672427177429199,False,-0.6456790422042545,0.777771004600343,0.9994537407962875,-0.037762200069625884,0.06566208861234683,-0.025196956893058294,-1.0,1.0,2.0,0.0,-0.17760072658045745,0.06408264591904722,0.3,0.015118174135835005
1777300586555350179,0.07314324378967285,False,-0.6593893114863444,0.7864998159109794,1.0166161154937754,-0.030321879821572154,0.07031319099495864,-0.025934343446338753,-1.0,1.0,2.0,0.0,-0.1504768039196228,0.08842619053000389,0.3,0.015560606067803295
1777300586655847651,0.10071921348571777,False,-0.6798095313656893,0.7860055318057766,1.0436087757579284,-0.03128289513810968,0.05275133880587365,-0.02305992061962627,-1.0,1.0,2.0,0.0,-0.13425066630116306,0.12680712314975348,0.3,0.01383595237177575
1777300586755494176,0.09932541847229004,False,-0.6894767357480678,0.8050439348618419,1.0523675575509368,-0.03341820361415683,0.06605957382927594,-0.02602306323614235,-1.0,1.0,2.0,0.0,-0.15860961147056227,0.05536222700628056,0.3,0.015613837941685471
1777300586856741079,0.10146331787109375,False,-0.7072184700415348,0.8047509853585847,1.0788606517148613,-0.03590510376484494,0.07232290860739926,-0.008791177984403832,-1.0,1.0,2.0,0.0,-0.1242440577371733,0.11692786320972492,0.3,0.005274706790642192
1777300586959454700,0.10272336006164551,False,-0.7207531056987712,0.8132581748929427,1.0966650471550832,-0.0259603793636561,0.06561878049071562,-0.023088722790520298,-1.0,1.0,2.0,0.0,-0.12999974329090372,0.08422133031520276,0.3,0.013853233674312192
1777300587065497238,0.10596275329589844,False,-0.7332458918901453,0.8228623814883287,1.1154537065286907,-0.042706292997181206,0.07232421980783182,-0.01915550232951781,-1.0,1.0,2.0,0.0,-0.1261751610213027,0.07668856832945078,0.3,0.011493301397710808
1777300587167087242,0.1012885570526123,False,-0.7439707398108267,0.8306979804111588,1.133114360189498,-0.029280863874891993,0.06013624324017632,-0.026667351947262854,-1.0,1.0,2.0,0.0,-0.1238987654755824,0.07509650048609301,0.3,0.016000411168357598
1777300587257520572,0.0906529426574707,False,-0.7525153754318795,0.8376726554412526,1.1493797748233714,-0.033211265215542116,0.060525846972401695,-0.02624729389530835,-1.0,1.0,2.0,0.0,-0.12212273885258669,0.07113442228122804,0.3,0.01574837633718493
1777300587368072724,0.1107931137084961,False,-0.761974221308504,0.8453126346340017,1.1692882617192812,-0.030357658966561053,0.06193895650795731,-0.027407738168154793,-1.0,1.0,2.0,0.0,-0.11913580702180253,0.06888630656861397,0.3,0.01644464290089287
1777300587466560245,0.09838104248046875,False,-0.7691174882248326,0.8521251631266625,1.187587661009629,-0.018285582695379436,0.07653122115677323,-0.02236008825520831,-1.0,1.0,2.0,0.0,-0.1182371373701421,0.06532375279566588,0.3,0.013416052953125045
1777300587558618054,0.09177279472351074,False,-0.7750190551086642,0.8577942044703808,1.2041329672518128,-0.027457675560746436,0.07999393625065745,-0.016914606613602997,-1.0,1.0,2.0,0.0,-0.11680983475201427,0.06482528142774135,0.3,0.010148763968161667
1777300587662915370,0.10459589958190918,False,-0.7775495835521783,0.8669998464022534,1.2178546687903256,-0.030819488809507627,0.07542102747817943,-0.02216614384869602,-1.0,1.0,2.0,0.0,-0.12736473116071706,0.05058611556179938,0.3,0.013299686309217584
1777300587766876352,0.10361456871032715,False,-0.8068129188590035,0.8821513119492729,1.2701144425295934,3.138549496239686,-0.0629431725759826,-1.561128688095399,-1.0,1.0,2.0,0.0,-0.027140705778094888,-0.030923838158427648,0.3,0.9366772128572396
1777300587873674922,0.10688543319702148,False,-0.7883492824578806,0.8781822182538694,1.2588547932521268,-0.028812642659726773,0.07419919725384724,-0.014153769989414635,-1.0,1.0,2.0,0.0,-0.17998735736023913,0.08169166504367648,0.3,0.008492261993648853
1777300587966430607,0.0925300121307373,False,-0.7916378137337324,0.8821113084319369,1.2776281858397802,-0.02808716774779514,0.07673550103846524,0.01497796728378713,-1.0,1.0,2.0,0.0,-0.1134738322735394,0.05970059323758341,0.3,-0.008986780370272384
1777300588068860471,0.10293769836425781,False,-0.7949292109548363,0.8854655150138145,1.296531892815852,-0.0315591712665288,0.07043226116337654,0.0238138274965183,-1.0,1.0,2.0,0.0,-0.11201433105549122,0.0616299565221812,0.3,-0.0142882964979111
1777300588165862556,0.09677410125732422,False,-0.7974642038627985,0.8886326251108327,1.310807151593224,-0.017937115608746085,0.07018083224934236,0.023533385418404114,-1.0,1.0,2.0,0.0,-0.11229018416787874,0.05966121857347432,0.3,-0.014120031251042596
1777300588268279577,0.10256242752075195,False,-0.8012258098397056,0.8912239104083574,1.3331490117713152,-0.029634615356354276,0.06086645949838303,0.02026692374010058,-1.0,1.0,2.0,0.0,-0.10707036539936333,0.05986815379931332,0.3,-0.01216015424406045
1777300588360660828,0.09244966506958008,False,-0.8036402847856524,0.8928438805533265,1.347618223314075,-0.03462925373403397,0.07015218613020176,0.029338061073079173,-1.0,1.0,2.0,0.0,-0.10820172964510048,0.06223761018612506,0.3,-0.017602836643847476
1777300588467203538,0.10660648345947266,False,-0.8074870788982018,0.8955698946251267,1.368856926972253,-0.030081403230122455,0.06306229075413264,0.026883572286926883,-1.0,1.0,2.0,0.0,-0.10316664619453497,0.05778085293991531,0.3,-0.01613014337215617
1777300588565345107,0.09806394577026367,False,-0.8105952857191294,0.8970559136275333,1.3864717574750849,-0.0314359324487893,0.06938636508212238,0.030242631091059274,-1.0,1.0,2.0,0.0,-0.10235626538976782,0.060343024601349646,0.3,-0.018145578654635574
1777300588665684023,0.10025477409362793,False,-0.8137023244979498,0.8989337413728916,1.4042899122289114,-0.03189292767766249,0.06918017495196316,0.025189882777162272,-1.0,1.0,2.0,0.0,-0.10106284882648477,0.05758434875663605,0.3,-0.015113929666297298
1777300588767266211,0.10087180137634277,False,-0.8170225725175856,0.900380322107102,1.4220857681785133,-0.03150720481378486,0.06807736697539521,0.0244153674586074,-1.0,1.0,2.0,0.0,-0.09852784666119088,0.05789218026926425,0.3,-0.014649220475164437
1777300588866553520,0.0999600887298584,False,-0.8204465126334773,0.9016481728289177,1.4399987020412315,-0.029167753805987493,0.06466519165798099,0.02112858323136061,-1.0,1.0,2.0,0.0,-0.09626808026257264,0.057252661104905345,0.3,-0.012677149938816345
1777300588966439194,0.0998525619506836,False,-0.8241879105769305,0.9031123158501533,1.457891849875625,-0.03144258596169827,0.06401619847010565,0.025022481032084962,-1.0,1.0,2.0,0.0,-0.09287257309769335,0.05607490947272551,0.3,-0.015013488619251092
1777300589065528781,0.0991208553314209,False,-0.8270045878210153,0.9042623133533473,1.4762528403843582,-0.03162022144809484,0.070075570238006,0.02331054315121907,-1.0,1.0,2.0,0.0,-0.09398861518040406,0.05616800693182517,0.3,-0.013986325890731432
1777300589166321406,0.10011148452758789,False,-0.8307438932123755,0.9057315979845859,1.4946790639371867,-0.030828743862955296,0.07295973375042357,0.02283653971028506,-1.0,1.0,2.0,0.0,-0.08913367568914432,0.05420755793643784,0.3,-0.013701923826171124
1777300589266510385,0.10088515281677246,False,-0.8334139897066475,0.9068407812198037,1.513365282375802,-0.03395329091319233,0.05795601457532104,0.01500503499391484,-1.0,1.0,2.0,0.0,-0.09121204697269815,0.053971841431715926,0.29198083057451885,-0.009003020996348888
