rank,meets_criteria,criteria_marker,score,horizon,delta_regularisation_strength,control_regularisation_strength,std_weight,wind_enabled,measurement_sample_position_error_std_m,measurement_sample_yaw_error_std_rad,avg_final_position_error_m,avg_final_yaw_error_rad,avg_mean_position_error_m,avg_mean_yaw_error_rad,avg_position_error_variance_m2,avg_yaw_error_variance_rad2,avg_peak_position_overshoot_m,avg_peak_yaw_overshoot_rad,measurement_sample_mean_position_error_m,measurement_sample_mean_yaw_error_rad,measurement_sample_position_error_variance_m2,measurement_sample_yaw_error_variance_rad2
11,False,,0.011010843842846202,10,1.0,6.0,0.1,False,0.00492787325539821,3.007599258524797e-09,0.0059733251104205545,5.258529185703243e-10,0.010518078772224057,1.7043126389747237e-09,1.110199165745968e-05,3.856854766057295e-18,0.08857500016919946,0.00041631518570660537,0.010518054512237278,1.7043091782308544e-09,2.428393482126895e-05,9.045653299878909e-18
12,False,,0.011969146072472351,10,2.0,6.0,0.1,False,0.005390436514047149,3.720070296250867e-09,0.006516087027247901,5.470871786150688e-10,0.011430127336590535,1.8918290599292236e-09,1.2944137044403524e-05,7.490765011953693e-18,0.09300148480118858,0.00040869360255960303,0.011430100157235622,1.8918249848870584e-09,2.9056805811972776e-05,1.3838923009048013e-17
13,False,,0.012234593846850087,5,0.5,3.0,0.1,False,0.005529048668063192,4.811835024041532e-09,0.0066867352134774675,5.47799249989156e-10,0.011681713587050516,2.0687000661542225e-09,1.3377914318916532e-05,1.563523845995268e-17,0.09142682217731928,0.00035167391419071975,0.011681686430164845,2.0686954196762907e-09,3.057037917381136e-05,2.3153756298592768e-17
14,False,,0.013024638389040165,5,1.0,3.0,0.1,False,0.005918086057240548,5.112205399313654e-09,0.007137434504068669,5.662413862794757e-10,0.012432856428876718,2.1539816188611628e-09,1.5012781182754502e-05,1.777415843243997e-17,0.09801717452681338,0.0004039462643202414,0.012432827118119069,2.153976500494204e-09,3.5023742580904976e-05,2.613464404477168e-17
15,False,,0.013646397287523903,5,2.0,3.0,0.1,False,0.006181170049594902,3.454251005013638e-09,0.007502829298826124,5.84154442734297e-10,0.013028310000193055,1.897384086783139e-09,1.6295049661275955e-05,5.024300089667102e-18,0.10503098776079205,0.0006925473384246306,0.013028278039759316,1.897379996906777e-09,3.820686318200904e-05,1.193185000563773e-17
16,False,,0.02247681499052363,5,0.5,6.0,0.1,False,0.011804134680470294,3.523224508195361e-06,0.012850687362607398,7.700573514957121e-10,0.02129481614171331,1.281788447563895e-06,3.9913031239974965e-05,1.0316013467500811e-11,0.12952395284471316,5.399038038866876e-10,0.02129476741330238,1.2817867233995596e-06,0.0001393375955546815,1.2413110935148444e-11
17,False,,0.02360391460427041,5,1.0,6.0,0.1,False,0.012681257719414783,7.519310789963815e-06,0.013517364043536612,9.148148942539347e-10,0.02233223139448457,2.856306941651295e-06,4.52257016632727e-05,4.634796817740257e-11,0.12931349514277352,3.21741961406552e-10,0.02233218059871683,2.8563025331074883e-06,0.000160814297346217,5.6540034756066253e-11
18,False,,0.024677053698030964,5,2.0,6.0,0.1,False,0.013294655356632804,1.0928978520427896e-05,0.014178028546138078,1.1753418908966306e-09,0.02334231465918752,4.2362657860306505e-06,5.067025907157339e-05,9.723578582010117e-11,0.1319643475735199,1.9091132230641961e-10,0.023342259005490404,4.2362590252366656e-06,0.0001767478610516453,1.1944257149997435e-10
19,False,,0.025596961723212207,15,2.0,3.0,0.1,False,0.019614396734452096,0.0005422934590373537,0.01115410489689512,1.968530429746762e-07,0.02332125018988416,0.00026001116100868955,0.00034912747309736263,2.918525107123201e-07,0.3651323534445058,0.024683925793320415,0.023321280850224387,0.00026001185363887664,0.000384724559256485,2.94082195714698e-07
20,False,,0.08986201788875152,15,1.0,3.0,0.1,False,0.06026398119347526,0.0005019379228903519,0.04864282891741021,0.00036226232639410935,0.08342525309678167,0.0003600410580015033,0.0025777580290959473,2.497088410748935e-07,0.3551134806730608,0.007553025212556252,0.08342538532295443,0.0003600406541605287,0.00363174742928754,2.5194167843548083e-07
21,False,,0.18093848803042406,15,0.5,3.0,0.1,False,0.09108037849986236,0.00041507215421168476,0.1591713922025271,0.00023775567561358055,0.17146567534592563,0.0003230159161910356,0.006734104055925011,1.6779954348991342e-07,0.3780699394431277,0.0015894809960922882,0.17146592814453598,0.0003230148204806641,0.008295635347678191,1.722848932019286e-07
22,False,,0.5284986641833203,10,1.0,1.5,0.1,False,0.14555068325403522,0.0016282840049379238,0.5537361047745999,0.0011003980387736092,0.5124427332013678,0.0013378170377326209,0.019338969178863658,1.6014126752131882e-06,0.6422445313944519,0.03999952641284087,0.512442949812062,0.0013378176453610032,0.021185001395716486,2.6513088007366845e-06
23,False,,0.5350510509016656,10,0.5,1.5,0.1,False,0.13134316640204582,0.0016594825140424047,0.5192217195537867,0.0015452049594913272,0.5204237758655667,0.0013269953650626733,0.017048868426504937,1.4572719986224242e-06,0.6563244161239724,0.017087727665663337,0.5204237896145635,0.0013269963954933041,0.017251027360515498,2.7538822144125e-06
24,False,,0.5394354865565526,10,2.0,1.5,0.1,False,0.19063738894648483,0.0014472085269134373,0.4547616579811266,0.0009476276593363247,0.519027267384116,0.0011997706941348737,0.03520595607345135,1.7772806368519163e-06,0.7003415097801465,0.08192550209204466,0.5190272567119197,0.001199770097292983,0.03634261406433334,2.0944125203709614e-06
25,False,,0.6037147594137419,15,0.5,1.5,0.1,False,0.07366401593613599,0.0015390857297291206,0.6119161357139333,0.0015603377098023664,0.5949478971068409,0.0012470072809578608,0.004532841361404273,9.343493876364291e-07,0.7332783256224737,0.026778813554675568,0.5949474422930023,0.0012470069541530575,0.005426387243839296,2.3687848834558198e-06
26,False,,0.6263494264142219,15,1.0,1.5,0.1,False,0.0875945643203327,0.0017290281464846663,0.6128533816306445,0.0014553579461982157,0.6160202634701563,0.0013971532098336682,0.007209118448811177,1.4089738512156056e-06,0.7639692302834318,0.045534155866374354,0.6160199134474207,0.0013971537201194128,0.0076728076984689045,2.9895383313362002e-06
27,False,,0.6584057902644045,15,2.0,1.5,0.1,False,0.13005643971328584,0.0019294082007004865,0.6440160352309428,0.0015691396704512184,0.643626692946969,0.001580676827264729,0.016431674950242434,2.28664750794564e-06,0.800272202196694,0.07387450747779305,0.6436265270438982,0.0015806784291075599,0.016914677510895555,3.722616004930289e-06
