,recording_time_ns,dt,wind_enabled,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw,targetpos_x,targetpos_y,targetpos_z,targetpos_yaw,control_vel_x,control_vel_y,control_vel_z,control_vel_yaw,experiment_id
383,1777300894777450486,1777300894.776707,False,-0.7733900408066476,1.6155694201793296,0.8415834146262964,-0.0031537005897702,0.0963431480245621,-0.1528412274955919,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.091704736497355,2
384,1777300894896531669,0.1191070079803466,False,-0.7719801345713031,1.619141223952273,0.8429238411377974,-0.0012093994897484,0.0956890828385953,-0.1503603086186702,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0902161851712021,2
385,1777300894977780238,0.0811688899993896,False,-0.7700408048852313,1.6224362951821212,0.8441965329669634,0.0016656229471365,0.0870981590253996,-0.15249649353319,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.091497896119914,2
386,1777300895078410873,0.1004166603088378,False,-0.7682607822745786,1.6258630301665298,0.8450654425356271,0.0065955541951229,0.0861665296990486,-0.1541147078462943,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0924688247077765,2
387,1777300895178072996,0.0992720127105712,False,-0.7662823451080363,1.628359746969316,0.845961750362145,0.0067609057667161,0.0832472055051606,-0.1520901014276652,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0912540608565991,2
388,1777300895278199123,0.1006183624267578,False,-0.7641655944593996,1.6301824445949775,0.8469820529148108,0.0094654355738967,0.0797112371616826,-0.1535793615062854,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0921476169037712,2
389,1777300895378727051,0.1002581119537353,False,-0.762865303840364,1.6310052476700965,0.8472579717420631,0.00531798008267,0.0840267997163897,-0.1540969695505019,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0924581817303012,2
390,1777300895478279535,0.0998482704162597,False,-0.7615920350114134,1.6306176362693534,0.8468902542465603,0.0011008452579449,0.0870503300119315,-0.1508470778515003,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0905082467109003,2
391,1777300895581540196,0.1032183170318603,False,-0.7664092153870147,1.6151082045711984,0.8568867703088212,-0.0207505853014979,0.0731379624320816,-0.1556326554273366,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0933795932564019,2
392,1777300895674007306,0.0926883220672607,False,-0.7662703456462665,1.6134689096410857,0.8564226958518399,-0.0251816232928248,0.0587938893148812,-0.1578224581112159,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0946934748667295,2
393,1777300895796071614,0.1221611499786377,False,-0.7649385749855581,1.6127607330034126,0.8543755518326326,-0.0183513549776148,0.0757882782774335,-0.1483446551333132,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0890067930799879,2
394,1777300895877664508,0.0815687179565429,False,-0.758884401046642,1.6249938988201738,0.844047041026101,-0.0048141802487307,0.0833997149716329,-0.1500388376831868,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.090023302609912,2
395,1777300895979340200,0.1015574932098388,False,-0.7589679631108047,1.6232687159029229,0.8437742071052792,-0.0097672972990815,0.0867815622802165,-0.1439328413978917,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.086359704838735,2
396,1777300896077323784,0.0980639457702636,False,-0.7592536058608224,1.6220208984058562,0.8433498409092584,-0.0120816024866731,0.0849381488765896,-0.1481898541559932,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.088913912493596,2
397,1777300896176730240,0.0996899604797363,False,-0.7599671390327868,1.621562189025032,0.8424848580879942,-0.0152932035725841,0.0809453830749784,-0.1435912592399674,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0861547555439805,2
398,1777300896277533558,0.1003880500793457,False,-0.7613222573641368,1.6217128932836704,0.8415275595426406,-0.0118903719847225,0.082328127296783,-0.1437543876453996,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0862526325872398,2
399,1777300896378071758,0.1003930568695068,False,-0.7630827343105019,1.622443716423903,0.8407392697602175,-0.0082185940247629,0.0834982345733417,-0.1482406722184411,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0889444033310647,2
400,1777300896479503393,0.1017630100250244,False,-0.7648462563832831,1.6231950391586327,0.840413736845757,-0.011023430085306,0.0806835165809392,-0.1436648662074588,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0861989197244753,2
401,1777300896577368610,0.0978877544403076,False,-0.7681433728880174,1.623128157597999,0.8425475793046073,0.0136661305400547,0.0630382390781686,-0.1498239157972811,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0898943494783686,2
402,1777300896677343220,0.0998637676239013,False,-0.7731951996243065,1.621656339958501,0.848877413326312,0.0228461720600632,0.0412616237884196,-0.1402435621957725,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0841461373174635,2
403,1777300896777478093,0.1000616550445556,False,-0.7815127611919208,1.6170777005204915,0.8592348963231301,0.0231205044547193,0.0331602960162889,-0.1415937084433478,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0849562250660087,2
404,1777300896877685880,0.1004993915557861,False,-0.7996951989103925,1.5952433159673025,0.8821337917732099,0.0044703802974395,0.0161860903421749,-0.1563797515660944,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0938278509396567,2
405,1777300896978994106,0.1011900901794433,False,-0.8100566693539731,1.598304497614328,0.8880263965726691,0.0338561418582256,0.0356055791222605,-0.1499870580065006,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0899922348039004,2
406,1777300897087578399,0.1087551116943359,False,-0.8370343751831857,1.5682961328448315,0.9158558218399954,0.0177662902160388,0.0214763139723154,-0.1622764899765744,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0973658939859445,2
407,1777300897184340887,0.0965466499328613,False,-0.8569014438670621,1.5538005071875134,0.9310854577850162,0.016035607583062,0.0341630589607054,-0.1557890820886553,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0934734492531932,2
408,1777300897288369625,0.1033220291137695,False,-0.8779875195360186,1.5463954388853616,0.9418051038933424,0.024790118453775,0.0387502961165017,-0.1599209733994991,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.0959525840396995,2
409,1777300897379828953,0.0920698642730712,False,-0.910536083148587,1.5120403896197856,0.9684340699227512,0.0008448256830561,0.0317042824284878,-0.1728841382960635,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.1037304829776379,2
410,1777300897478433550,0.0985321998596191,False,-0.9403424204427128,1.4890531836019223,0.9874046735825566,0.0127805339370936,0.0372810622081998,-0.1701853980320412,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.1021112388192246,2
411,1777300897578350869,0.0999932289123535,False,-0.972942198838898,1.4636759451373322,1.0061623607189385,-0.0007161329815562,0.0150840313856256,-0.1886102444526747,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.1131661466716048,2
412,1777300897680437867,0.1020388603210449,False,-1.0066145647369786,1.43849783566323,1.023333040521945,0.0147228763505554,0.0359911395863991,-0.1769424022318055,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.1061654413390833,2
413,1777300897786113648,0.105337381362915,False,-1.042504281880194,1.411807799139945,1.040487766999906,0.0109846288758541,0.0375472470077393,-0.1747894188327705,-2.0,0.0,2.0,0.0,-0.3,-0.3,0.3,0.1048736512996624,2
414,1777300897887033458,0.1012310981750488,False,-1.0837767397854057,1.381277514581246,1.0592234915197214,0.0006336709403955,0.0371785405594641,-0.1805533914938541,-2.0,0.0,2.0,0.0,-0.2878967816759932,-0.3,0.3,0.1083320348963123,2
415,1777300897987334704,0.1004877090454101,False,-1.122934823217245,1.3521610066528822,1.0757468130040448,-0.0049307182176705,0.024152979890621,-0.1884014344266164,-2.0,0.0,2.0,0.0,-0.266425156476776,-0.3,0.3,0.1130408606559697,2
416,1777300898087093249,0.0995776653289794,False,-1.162959063094203,1.3231508961027152,1.0910659187652183,0.0012906374130608,0.0435300610948628,-0.1783197400529499,-2.0,0.0,2.0,0.0,-0.2502762120036683,-0.3,0.3,0.10699184403177,2
417,1777300898187537875,0.1004843711853027,False,-1.2038174854236028,1.2937122292685226,1.1066485870962688,-0.0022309283599976,0.0451380379689072,-0.1807421889248421,-2.0,0.0,2.0,0.0,-0.2261952550638047,-0.3,0.3,0.1084453133549051,2
418,1777300898286718521,0.0993473529815673,False,-1.2449183691631311,1.2632040074904396,1.1225965041249129,-0.0005144394425145,0.0556081214911498,-0.1790419025361819,-2.0,0.0,2.0,0.0,-0.2051085730354026,-0.3,0.3,0.1074251415217092,2
419,1777300898380988201,0.0940687656402587,False,-1.2817674757651505,1.2354236924280413,1.1363348543888263,-0.0006045702730039,0.0568910173640339,-0.1760561964144433,-2.0,0.0,2.0,0.0,-0.1942652164083297,-0.3,0.3,0.105633717848666,2
420,1777300898481443322,0.1002974510192871,False,-1.3220446218256965,1.2039617422080422,1.1518335367330796,-0.0041287953213414,0.062821771539222,-0.1768517229433309,-2.0,0.0,2.0,0.0,-0.1713020162258536,-0.3,0.3,0.1061110337659986,2
421,1777300898582403887,0.1009700298309326,False,-1.3613051163750791,1.1715946540402564,1.1671695691082145,0.0026942320258283,0.0617629081468136,-0.1783111696454664,-2.0,0.0,2.0,0.0,-0.1547157643816633,-0.3,0.3,0.1069867017872798,2
422,1777300898686347827,0.104332685470581,False,-1.402992508496189,1.1352764957004708,1.1840725859500831,-0.0009016366986911,0.0670956445110571,-0.1786517428546137,-2.0,0.0,2.0,0.0,-0.1320548505408752,-0.3,0.3,0.1071910457127682,2
423,1777300898787798592,0.1012663841247558,False,-1.4391271277844038,1.10142792076065,1.1994300466997596,0.001328359276011,0.0738554171794493,-0.1763984041234922,-2.0,0.0,2.0,0.0,-0.1275409825459976,-0.3,0.3,0.1058390424740953,2
424,1777300898893080485,0.1052727699279785,False,-1.4732477743830104,1.0668900868615132,1.214421895136622,0.0035946980168194,0.073668272222588,-0.1750666293481273,-2.0,0.0,2.0,0.0,-0.1211200506528859,-0.3,0.3,0.1050399776088765,2
425,1777300898994923751,0.1019732952117919,False,-1.5048571575463026,1.0313275881879196,1.2292344056313955,0.0046474329319607,0.0837229194525606,-0.1753126277506539,-2.0,0.0,2.0,0.0,-0.1112841765123285,-0.3,0.3,0.1051875766503924,2
426,1777300899089721564,0.0946342945098877,False,-1.5345787894336484,0.9954048537901188,1.2438830612047669,7.692156135220423e-05,0.0767300427844017,-0.1754609858728211,-2.0,0.0,2.0,0.0,-0.0978142104541476,-0.3,0.3,0.1052765915236925,2
427,1777300899187456793,0.097543716430664,False,-1.5622452741347057,0.9587526630597258,1.2579556234126126,-0.0014822771600349,0.0755478697603987,-0.1778816307156972,-2.0,0.0,2.0,0.0,-0.0929198167930831,-0.3,0.3,0.1067289784294183,2
428,1777300899287009134,0.0997745990753173,False,-1.5877369763562788,0.9221313391997612,1.2719758346158725,-0.0157856663253617,0.0491322898788123,-0.190175779763568,-2.0,0.0,2.0,0.0,-0.0838597586455533,-0.3,0.3,0.1141054678581407,2
429,1777300899387236906,0.1001567840576171,False,-1.6111969922934386,0.8845003035686738,1.2869015120256446,0.0172443448751475,0.0845861284175479,-0.1747479718608633,-2.0,0.0,2.0,0.0,-0.0878586769734434,-0.3,0.3,0.1048487831165179,2
430,1777300899490031490,0.1026327610015869,False,-1.6332473573895692,0.8464249306860632,1.300889732024548,0.0026415292329994,0.0683187162401687,-0.1771325882107205,-2.0,0.0,2.0,0.0,-0.0832860106515952,-0.3,0.3,0.1062795529264322,2
431,1777300899582715360,0.0930430889129638,False,-1.6514983653938051,0.8121907325743742,1.3139803452181245,0.0066044167835997,0.0733773790881416,-0.1754651163686877,-2.0,0.0,2.0,0.0,-0.082147263302492,-0.3,0.3,0.1052790698212128,2
432,1777300899686850995,0.1041343212127685,False,-1.6724659807129258,0.7700248332896956,1.3299186184679206,0.0031369060728837,0.0691215537326441,-0.1813309287835834,-2.0,0.0,2.0,0.0,-0.0724707779182697,-0.3,0.3,0.10879855727015,2
433,1777300899786869281,0.0999369621276855,False,-1.6905554107294551,0.7313946104150019,1.3451682533501517,0.0015069436993024,0.0652147816839502,-0.1842975601699474,-2.0,0.0,2.0,0.0,-0.0699711828832913,-0.3,0.3,0.1105785361019683,2
434,1777300899888566115,0.1016657352447509,False,-1.710683420821406,0.6956209230740537,1.3633795701689642,-0.0053019353065104,0.0909828791015677,-0.2188044539349464,-2.0,0.0,2.0,0.0,-0.0437902847428439,-0.3,0.3,0.1312826723609679,2
435,1777300899991809375,0.1034433841705322,False,-1.7239228442911,0.652204493931541,1.3758870082124206,0.0103847945847279,0.079437081809399,-0.1899792492069801,-2.0,0.0,2.0,0.0,-0.0748412240487864,-0.2846636278421512,0.3,0.113987549524188,2
436,1777300900120758205,0.1286978721618652,False,-1.74129257743169,0.6217782977132736,1.3922170964605154,0.0440947017273896,0.0646451801278113,-0.1529202114799458,-2.0,0.0,2.0,0.0,-0.0673721986575552,-0.3,0.3,0.0917521268879675,2
437,1777300900189758064,0.0691876411437988,False,-1.7573058796882408,0.5720301851353662,1.4099621446481077,0.0030200041907023,0.0720319856540697,-0.1895557859843543,-2.0,0.0,2.0,0.0,-0.0507921620947317,-0.1395791085229508,0.3,0.1137334715906126,2
438,1777300900286483850,0.0969376564025878,False,-1.7730626105760434,0.5304997735370247,1.4273866623142075,-0.0203603206293381,0.066200571692593,-0.2109964825727268,-2.0,0.0,2.0,0.0,-0.0457157368843713,-0.2038683825977259,0.3,0.1265978895436361,2
439,1777300900386844466,0.1001312732696533,False,-1.7869217470120768,0.4896934190560241,1.4448639905485672,-0.0113419884875994,0.0884289773827989,-0.2005140792006801,-2.0,0.0,2.0,0.0,-0.0504248480765895,-0.1853136414102991,0.3,0.1203084475204079,2
440,1777300900487369423,0.100327730178833,False,-1.8019953355790197,0.4505708058766485,1.4626477198685426,-0.0198371222808724,0.0576813642567556,-0.1770798654203854,-2.0,0.0,2.0,0.0,-0.0455618696268089,-0.1639477960205565,0.3,0.1062479192522313,2
441,1777300900588105899,0.1003544330596923,False,-1.8129610959739368,0.4118702867892642,1.479293256867252,-0.0201465164450637,0.0300395197168396,-0.1785303485821255,-2.0,0.0,2.0,0.0,-0.0548396588448947,-0.1434493011652139,0.3,0.1071182091492754,2
442,1777300900691861563,0.1040091514587402,False,-1.8258579505339751,0.3775353196945242,1.4979774145893932,-0.0261184907422307,0.0466921895895436,-0.1912939892507487,-2.0,0.0,2.0,0.0,-0.0418196945561409,-0.1379543072551818,0.3,0.1147763935504492,2
443,1777300900786770169,0.0952191352844238,False,-1.8352850299055816,0.3435854297996693,1.5144284294497703,-0.0346522551927805,0.0411734694588705,-0.2045028392970156,-2.0,0.0,2.0,0.0,-0.0475441908051006,-0.1111594356490092,0.2913429423301378,0.1227017035782093,2
444,1777300900887415582,0.1000037193298339,False,-1.8471789110957704,0.3136372508247501,1.5330901604567453,-0.0305844455125863,0.065289370146387,-0.2065956825689459,-2.0,0.0,2.0,0.0,-0.0346485898606455,-0.1077396857135084,0.2801459037259528,0.1239574095413675,2
445,1777300900986647118,0.0999934673309326,False,-1.8570346615753044,0.286339922360415,1.5510501530154273,-0.0433956043538811,0.0596262507210902,-0.2042094999695864,-2.0,0.0,2.0,0.0,-0.0368096194570273,-0.0994375090642786,0.2693699081907436,0.1225256999817517,2
446,1777300901086869463,0.100175142288208,False,-1.8677034966618868,0.2619353329826563,1.5693759427556742,-0.0411905621414498,0.0731624304867471,-0.2000902253231877,-2.0,0.0,2.0,0.0,-0.0297704708243703,-0.0918245720167995,0.2583744343465955,0.1200541351939125,2
447,1777300901203331841,0.1162569522857666,False,-1.877825669072633,0.2381702670672108,1.5881224982214397,-0.0483022133320205,0.0683142702608808,-0.2080893691367327,-2.0,0.0,2.0,0.0,-0.0293135500169368,-0.0895646783211956,0.2471265010671363,0.1248536214820397,2
