recording_time_ns,dt,wind_enabled,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw,targetpos_x,targetpos_y,targetpos_z,targetpos_yaw,control_vel_x,control_vel_y,control_vel_z,control_vel_yaw
1776689550840849179,0.02,False,0.0,0.0,0.9758768135013062,0.0,-0.0,0.0,2.0,2.0,2.0,0.0,0.18366516677888162,0.18366516677888167,0.11660442828614917,0.0
1776689550963190269,0.02,False,3.496930448808888e-05,3.4922421590542874e-05,0.9383722950721027,-0.0028114280778850573,0.0028081326477993446,-0.0020214218231596687,2.0,2.0,2.0,0.0,0.3218624216405252,0.32316630243071454,0.2084467132809689,0.0009615400248283838
1776689551027977389,0.02,False,0.00032547950958046034,0.00032593457090609134,0.9127794010729263,-0.006777757520177535,0.006714884075075844,-0.0024044805279660434,2.0,2.0,2.0,0.0,0.42642959499805844,0.42848519066724094,0.28076553672189253,0.0019490330957543775
1776689551081705208,0.02,False,0.0011958666342291003,0.0011996112371196735,0.9009693027541045,-0.011754824779626158,0.011622417674334988,-0.003116460789568222,2.0,2.0,2.0,0.0,0.5051379738964143,0.5082959724915169,0.33685895056831217,0.003043889049887889
1776689551151238503,0.02,False,0.003001213917651606,0.0030125408183838687,0.9005485609588577,-0.0175429619812533,0.017336879158205733,-0.0033763068591647193,2.0,2.0,2.0,0.0,0.564566882773136,0.5683908875616911,0.37939029842898137,0.0040120450982423445
1776689551210451044,0.02,False,0.006140258168025876,0.006165039761801091,0.9094822073207374,-0.024293518983246786,0.024035321722247205,-0.0030801212944453465,2.0,2.0,2.0,0.0,0.6095014228901666,0.6132646345790425,0.41059552633035706,0.00460171631598356
1776689551263974383,0.02,False,0.011026774837564868,0.01107153982038796,0.9260662556737002,-0.031052078555180412,0.030786362511805988,-0.0026492703927829095,2.0,2.0,2.0,0.0,0.6431925573634663,0.6466033519221147,0.43235939185909555,0.0048193743161480595
1776689551313257908,0.02,False,0.018019337298229705,0.01809001267810548,0.9485507914485771,-0.03698016711594063,0.03673425818282122,-0.0022312937763981633,2.0,2.0,2.0,0.0,0.6681240279224673,0.6711012971125387,0.44630340857620004,0.0047593429387598795
1776689551363697231,0.02,False,0.027414618878911945,0.027516442911867327,0.975361560940293,-0.04207983953578522,0.04187764973594833,-0.0018056848734507702,2.0,2.0,2.0,0.0,0.686224120817209,0.688689477430184,0.45383261585151646,0.0044905177671446155
1776689551424832985,0.02,False,0.03945534008913176,0.03959256141586537,1.0051934293861085,-0.04665497143620776,0.046496717858828876,-0.0014595915415576896,2.0,2.0,2.0,0.0,0.6988573582606806,0.7008750723368845,0.45615933146276083,0.004105057328728625
