,recording_time_ns,dt,wind_enabled,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw,targetpos_x,targetpos_y,targetpos_z,targetpos_yaw,control_vel_x,control_vel_y,control_vel_z,control_vel_yaw,experiment_id
583,1776696697384733733,1776696697384,False,0.0916146413524202,0.117666839822738,0.798209139469012,-0.0088716672044098,0.0210455643435915,0.0331711574040612,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0331711574040611,2
584,1776696697486483124,1776696697486,False,0.0928068665461507,0.1218034193179143,0.7979496756765678,-0.0127732543556534,0.0299051116309622,0.0343811220081392,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0343811220081393,2
585,1776696697591645253,1776696697591,False,0.09445858077863,0.1262952085838572,0.7980141597889531,-0.0162779943042998,0.0273470421910909,0.0341919243473865,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0341919243473864,2
586,1776696697689122121,1776696697688,False,0.0967413434882392,0.1307818845655644,0.7977062370562715,-0.0118995236064609,0.0267515611954676,0.0360322268456448,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.036032226845645,2
587,1776696697786454033,1776696697786,False,0.0993877161218699,0.1349308271060013,0.797305325355522,-0.0082076075521393,0.0248142863951673,0.0340775030905412,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0340775030905411,2
588,1776696697886536385,1776696697886,False,0.1024138937686475,0.1395512487743986,0.7974053396749623,-0.0070704290252293,0.0187673856045606,0.033270242064332,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.033270242064332,2
589,1776696697989654781,1776696697989,False,0.1055586666413128,0.1440251257937433,0.7981442213702289,-0.0143251574792542,0.0237473421780128,0.0357533188532657,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0357533188532657,2
590,1776696698089653734,1776696698089,False,0.1087180888000472,0.1486510257659264,0.79869002516199,-0.0172909825865957,0.019614546599225,0.0335957722015127,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.033595772201513,2
591,1776696698189678497,1776696698189,False,0.1118758413325567,0.153496667464739,0.7996889804772841,-0.0125112139034249,0.0243752699869619,0.0346201012681034,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0346201012681035,2
592,1776696698289290307,1776696698289,False,0.1149803927004989,0.1581840175594797,0.8015429716060125,-0.0099182704029227,0.0275131299993813,0.0360668317679923,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0360668317679921,2
593,1776696698389641201,1776696698389,False,0.1179063114965205,0.1630472747078371,0.8037365929522499,-0.0109047419231162,0.0215782533876269,0.0348441049200473,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0348441049200474,2
594,1776696698490036410,1776696698489,False,0.1208676036595234,0.1680011149730513,0.8061153293520339,-0.011085357528229,0.0259872136651801,0.0349411384543746,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0349411384543745,2
595,1776696698588857145,1776696698588,False,0.1237551465366366,0.1729620187912094,0.8080822891831637,-0.0109213647225802,0.0240131870352063,0.036071978096371,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0360719780963711,2
596,1776696698689416195,1776696698689,False,0.1267252302894612,0.1779929480426702,0.8100880692701036,-0.0083872466390648,0.0237372103814733,0.0345807113708617,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,-0.0345807113708618,2
