,recording_time_ns,dt,wind_enabled,pos_x,pos_y,pos_z,pos_roll,pos_pitch,pos_yaw,targetpos_x,targetpos_y,targetpos_z,targetpos_yaw,control_vel_x,control_vel_y,control_vel_z,control_vel_yaw,experiment_id
440,1776696279165271717,1776696279165,False,-0.105710170972748,0.2285966707692839,0.8395106005432273,-0.0035582595055585,0.0113567272448442,0.0560733757220844,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.280366878610423,1
441,1776696279265164235,1776696279264,False,-0.1061921181634438,0.2289149760135695,0.8392762363319325,-0.0012743404352501,0.0142364992939291,0.0577856481842221,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2889282409211113,1
442,1776696279365126383,1776696279365,False,-0.1069764722695307,0.2294459865323855,0.8395004251280378,-0.0021624870653824,0.0103742829882138,0.0564389696871879,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2821948484359393,1
443,1776696279465163633,1776696279464,False,-0.1076356395875918,0.2299667379968497,0.8396181519749013,0.0007412166867973,0.0165213694236715,0.0569173352228528,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2845866761142646,1
444,1776696279565341089,1776696279565,False,-0.1080870920592883,0.2303670481208731,0.8400814022670945,-0.0017442682535324,0.0182193812295396,0.0576229891843959,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.28811494592198,1
445,1776696279665350183,1776696279665,False,-0.1081413420786247,0.2308811624585994,0.8407857720016687,0.0013584627576673,0.0181246815352986,0.0565319471583991,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2826597357919946,1
446,1776696279768627965,1776696279768,False,-0.1076747348806291,0.2314056281938579,0.8415620018699271,-0.0022039118236666,0.018102187814292,0.0557605728371964,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.278802864185983,1
447,1776696279865811752,1776696279865,False,-0.1067704041935714,0.2318821179356099,0.8423655904194566,-3.208603330325762e-05,0.0195984277845628,0.0566637166313829,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2833185831569151,1
448,1776696279965181679,1776696279964,False,-0.1058324245094816,0.2325532780209645,0.8431177390984077,-0.0028360276839235,0.0127629731193246,0.0574603637322592,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2873018186612963,1
449,1776696280065605704,1776696280065,False,-0.1049020467766901,0.2331729005299652,0.8437340891925083,-8.643401165350345e-05,0.0163708246851579,0.0588853732265571,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,-0.2944268661327864,1
